name,@lat,@lon
Opet Arnavutköy,41.1833170,28.5976970
Opet Pendik,40.9015949,29.2470027
Opet Esenyurt,41.0503800,28.6284800
Opet,40.8956960,29.2490574
Opet Tuzla,40.8663350,29.3348073
Opet Beykoz,41.0947930,29.0908770
Opet Tuzla,40.8717940,29.3716410
Opet Tuzla,40.8374032,29.2960611
Opet Sultanbeyli,40.9681282,29.2531294
Opet Kartal,40.9104000,29.2115340
Opet Ümraniye,40.9838700,29.1659590
Opet Pendik,40.8594980,29.2815455
Opet Ataşehir,40.9877310,29.1438050
Opet Bağcılar,41.0501310,28.8120810
Opet Topkapı,41.0197170,28.9088162
Opet Islah Petrol,41.2051030,28.7282620
Opet,41.0314580,29.0796810
Opet Esenkent,41.0554191,28.6719297
Opet Tuzla,40.8839780,29.3492870
Shell Sabiha Gökçen,40.9266858,29.3175598
Opet Ümraniye,41.0084670,29.2159064
Opet Büyükçekmece,41.0640340,28.6219610
Opet Pendik,40.8913730,29.2331940
Shell,41.0287990,28.7907820
Opet Sancaktepe,41.0072370,29.2442930
Opet Şile,41.1569790,29.6283440
Opet Sancaktepe,40.9776000,29.2206066
Opet Sultanbeyli,40.9900820,29.2637930
Opet Esenyurt,41.0179351,28.6462917
Opet Büyükçekmece Kamiloba,41.0353809,28.4457793
Opet,40.8865592,29.2418964
Opet Üsküdar,41.0098640,29.0122430
Opet Pendik,40.8859450,29.2865630
Opet Bağcılar,41.0275113,28.8574214
Petrol Ofisi - Bulut Petrol,40.9240928,29.1510850
Opet,40.9377236,29.1380140
Shell,40.9388796,29.1361722
Total,40.9397682,29.1332185
,40.9202486,29.1476072
Shell,40.9111444,29.1953199
,40.9089065,29.2027174
Shell,40.9024990,29.2174843
Total,40.8943224,29.2284918
Opet,40.9043720,29.2786929
Total,40.9079618,29.2933732
Petrol Ofisi,40.9149020,29.3036180
,41.1327928,28.4703103
Shell,40.8940497,29.1988693
,40.8560960,29.2912778
,40.8240740,29.3519893
,40.8171858,29.3625531
TotalEnergies,41.0521545,29.2397197
Shell,41.0657131,29.0022542
Opet,41.2230320,28.4551489
Opet,40.9264845,29.3156064
,40.9650131,29.2720354
Petrol Ofisi,40.9748828,29.2406807
Shell,40.8991340,29.2686629
Aygaz,40.9816359,28.8908742
,40.9144783,29.1408730
,40.9086602,29.3586260
Class,41.0071529,29.1882859
BP,41.0414243,28.9796462
Shell,41.0405187,28.9673371
Petro Ofisi,41.0416582,28.9664429
Shell,41.0381426,28.9680383
,41.0384552,28.9734829
,41.0388062,28.9726479
Total Milangaz,41.0398116,28.9775232
Total,41.0118047,28.8178457
,41.0154366,28.8243738
BP,41.0138923,28.8259069
,41.0334125,28.8513955
,41.0367739,28.8528910
,41.0420795,28.8510572
Opet,41.0127401,28.9006253
Alpet,40.9936173,28.7095758
Shell,41.0194430,28.6768201
Shell,41.0548455,28.8759011
Opet,41.0025350,28.7874784
Petrol Ofisi,41.0345575,28.8333113
,41.0399047,28.8336440
,41.0459080,28.8298889
BP,41.0567651,28.8304780
Kadoil,41.0580610,28.8309170
Opet,41.0588357,28.8311038
Shell,41.0599520,28.8314074
Aytemiz,41.0599766,28.8321172
BP,40.9950934,28.8950522
,41.1859346,28.7392703
Petrol Ofisi,41.0679112,28.8110015
Petrol Ofisi,41.0612495,29.0012598
,41.0271290,28.8568809
Türkiye Petrolleri,41.0569121,28.9511070
Petrol Ofisi,41.0852259,28.9781424
Petrol Ofisi,41.0099945,28.7944248
,41.0293707,28.7957510
Petrol Ofisi,40.9916607,28.8380623
Opet,40.9853444,28.7858270
Total,41.0313261,28.8229913
,41.0338280,28.6801411
Aytemiz,41.0598337,28.6251746
,41.0408294,28.6259466
Shell,41.0370171,28.6247136
,41.0270519,28.6266991
BP Veliefendi,40.9881116,28.8842153
,40.9035280,29.3945702
Aytepe petrol,40.8997450,29.3511643
Shell,40.8986284,29.2596818
Türkiye Petrolleri,40.8975594,29.2541411
TotalEnergies,40.8903882,29.2360378
,40.8967250,29.2226562
,40.9134792,29.1515461
,40.9164725,29.1466453
Shell,40.8751897,29.2543039
Petrol Ofisi,41.0437708,29.2791974
,41.0133611,28.7874587
Shell,40.9920052,28.8332033
Total,41.0321189,28.8002098
Aytemiz Esenyurt Tabela,41.0216485,28.6875944
,41.0134315,28.6954050
Shell,40.9234235,29.1510390
Petrol Ofisi,40.9504382,29.1627223
,40.9667645,29.2156254
,40.9664324,29.2164926
,40.9695598,29.2201602
,40.9806034,29.2202745
Opet,40.9869690,29.2261047
,40.9927015,29.2231235
,41.0038954,29.2168851
BP,41.0097306,29.2108740
Petrol Ofisi,41.0103626,29.2103946
,41.0125502,29.2073884
,41.0136153,29.1912113
Petrol Ofisi,41.0165644,29.1777204
BP,41.0181927,29.1716580
Shell,40.9293369,29.1295388
Petrol Ofisi Benzin İstasyonu,41.0274482,28.8475262
,41.0285322,28.8464680
,41.0417944,28.8497953
,41.0540287,28.8335832
,41.0131146,28.8468078
Shell,41.0098412,28.8310577
Milangaz,41.0080791,28.7949318
Shell,41.0443621,28.7820226
BP,41.0164313,28.9492848
Shell,41.1674095,29.5420488
Shell,41.0614084,29.0110721
,41.0283367,28.8782530
,41.0165067,29.0302075
Aytemiz,41.0047684,29.0353401
Petrol Ofisi,40.9836700,28.6439262
Alpet,40.9893865,28.6188569
,41.0306299,28.6625701
,41.0316929,28.6575073
Petrol Ofisi,40.9887409,28.6676454
,41.0478767,28.9685879
,41.0423654,28.6764340
BP,41.0177752,28.9509568
Total,41.0286169,28.9369637
BP,41.0070444,28.9368651
Aytemiz,41.0297906,28.9390520
Opet,41.0072114,28.9284307
,41.0502394,28.8592290
,41.0522075,28.8581586
,41.0540279,28.8544678
,41.0568105,28.7280349
Alpet,41.1366543,28.8170534
Petrol Ofisi,40.9717653,29.2485139
,40.9677910,29.2699856
Total,40.9697013,29.2659915
,40.9406294,29.2852556
Shell,40.9605351,29.2916233
,40.8792929,29.2204988
Lukoil,40.9902534,29.1758465
Opet Tahtakale,41.0151886,28.9682970
Kumkapi TotalEnergies,41.0017886,28.9725372
Shell benzinci,40.9939415,28.8945802
Shell,41.1765910,28.8902738
Shell,40.9573939,29.0976751
Class Petrol,40.8843453,29.2359312
,40.9382947,29.1408662
Petrol Ofisi,40.9815110,29.0686312
,41.0277510,28.9084234
Shell,41.0071320,29.1903445
Petrol Ofisi Arasena,40.8908871,29.2632647
Total,40.8906740,29.2342555
,40.9168959,29.1957660
BP,40.8875592,29.1917101
Uspet,40.9905592,29.0767874
Petrol Ofisi,40.9899507,29.0820974
,40.9980508,29.0915291
Petrol Ofisi,40.9424888,29.3020362
P MAX,40.9727059,29.2622919
Aytemiz,40.9643618,29.2742466
,41.0751507,28.9696221
,41.0811679,28.9865705
Lukoil,40.9422553,29.3012500
Opet Gültepe,41.0231146,29.1079509
Opet imes 1,41.0020489,29.1636539
Shell,41.0080712,28.8970539
,41.0245829,28.8064335
Shell,41.0445840,28.8207294
Aytemiz,41.0448318,28.8169805
imes petrol 089,41.0018496,29.1643045
Opet,40.9719050,29.2491636
Opet,40.9458545,29.1274403
Opet,41.0642078,28.9822451
,41.0855779,28.9685793
,41.1732022,29.0540040
Moil,40.9909695,28.8708226
Total,41.0173023,28.8904511
,41.0154297,29.2437366
Shell,41.0269115,29.2397661
Petrol Ofisi,41.0396942,29.2345379
Total,41.1528607,28.7875335
BP,41.0449926,28.8230339
BP,41.0079027,29.1808357
Petrol Ofisi,41.0227995,29.1096406
TotalEnergies,41.0221955,29.1126822
PO,41.0437082,28.9479541
Onex,40.9643673,29.2813660
Opet,40.9711613,29.2575172
Total,40.9694406,29.2571926
Bulvar girişi,40.9419343,29.3016100
Akşamsettin,40.9480570,29.2996747
Shell,40.9825628,29.2667627
total Emkar petrol sanayi karsì,40.9511190,29.2976145
TP - Türkiye Petrolleri,40.9638346,29.2844653
,41.1721549,28.5026895
,41.1510071,28.4527997
,41.2512907,28.4924105
BP,40.9814332,29.0811831
,41.0910958,28.3282396
,41.0948838,28.3719064
,41.0960030,28.3741293
Starpet,41.0205330,28.9066419
bp taşıtmatık,40.9821539,28.8937035
Petrol Ofisi Bağcılar 100. Yıl,41.0562669,28.8526468
Shell,41.0285248,28.8464788
Opet,41.0326170,28.8341154
Total Bağcılar-2,41.0283367,28.8568240
,41.0795924,29.1425113
,41.1216431,29.1462166
,41.1365841,28.6230491
BP-Artı Kurumsal Kart Ve Petrol,41.1234795,28.6248907
Shell,41.1525006,28.6170195
,41.1173181,28.6282691
TotalEnergies,41.1174784,28.6293890
,41.0222354,28.7011184
BP,41.0250023,28.6592596
BP,41.0047978,28.8923178
,41.0049447,28.8920028
Türkiye Petrolleri,41.0834384,28.9487993
,41.1972545,28.4455672
,41.0298186,28.8635582
,40.9664500,29.1033280
BP,40.9670745,29.1042110
Shell,40.8811717,29.3451289
Petrol Ofisi,41.0225451,29.0753284
,41.1245795,29.4808701
Aytemiz,41.1123996,29.0407526
,40.8390872,29.2954604
,41.0336295,28.8074676
,41.1582212,28.6135003
Petrol Ofisi,40.9279097,29.1329757
Shell,41.1177047,29.0644015
,41.3905203,28.4514292
Shell,41.0322908,29.1736573
İloil,41.1813769,28.7448117
Petrol Ofisi,41.1819955,28.7429251
,41.0598711,28.6992785
,41.0972265,28.9046329
BP,41.0788510,29.0029586
Total,40.9105568,29.2161373
Alpet Ayar Petrol,41.0265141,28.4656456
BP,41.0248356,29.2256803
Shell,40.8999268,29.2199557
Total,41.0578137,28.7127623
,41.0801433,28.2088456
,41.0809351,28.2055117
133 imes petrol,40.9567108,29.2138795
BP,40.9894463,29.0421754
Türkiye Petrolleri,40.8862220,29.2363280
Opet,41.1511698,28.7877841
Opet,40.9110485,29.1818113
Petrol Ofisi,41.1039881,28.8619681
Petrol Ofisi,41.0948562,28.8632641
Petrol Ofisi,41.0917254,28.8645145
,41.0955329,28.7908182
Energy Petrol Selimpaşa,41.0498134,28.3909638
,41.0143136,28.8321043
Aytemiz,41.2362910,28.9051683
Total,41.0145892,29.0756042
,40.9894307,29.1953675
,41.1073107,28.2217768
,41.1037347,28.2194058
,41.0716227,28.9798973
Petrol Ofisi,41.0319161,28.9058591
Starpet,41.0319758,28.9055397
Petrol Ofisi,41.0283233,28.9168122
Opet,41.0078954,29.1928866
Petrol Ofisi,40.9274927,29.3469241
,40.9288418,29.4395912
Petrol Ofisi,41.1556297,28.1699404
Opet,41.1540912,28.1682492
Opet,41.0144577,29.1904016
Opet Ümraniye,40.9936151,29.1889906
Opet,41.0267540,29.2427586
Petrol Ofisi,41.0185440,29.0845768
Petrol Ofisi,41.0603468,28.6987055
Energy,40.9931820,28.6303116
Opet Beylikdüzü,41.0048016,28.6376236
TotalEnergies,40.9894325,28.6573616
Teco,41.0306413,28.6825978
,41.0120959,28.6818702
Shell,40.9775719,29.0971615
,41.0275668,29.0261920
Petrol Ofisi,40.9393933,29.3172635
Opet,41.0489227,29.0545563
Shell,41.0015329,29.0780713
,40.9816004,29.2215046
Best,40.9176914,29.1440382
,41.0863729,29.1364115
Teco,41.3169770,28.1749441
Moil Milan Petrol,41.2236389,28.4551746
Petrol Ofisi,41.1045077,28.4248468
Shell,40.8806693,29.2551620
Türkiye Petrolleri,40.8731683,29.2652568
Türkiye Petrolleri,40.8736907,29.2660700
Petrol Ofisi,41.1072326,28.1121790
TotalEnergies,41.0243095,28.6235887
Shell Gürpınar Kavşak,41.0183500,28.6325750
Class,41.0023361,28.8860995
BP Büyükçekmece Kamiloba,41.0378019,28.4372572
Petrol Ofisi Büyükçekmece Kamiloba,41.0402471,28.4284738
BP Silivri Araptepe,41.0643318,28.3207631
Petrol Ofisi Silivri Selimpaşa,41.0649785,28.3209172
Opet Silivri Selimpaşa,41.0638460,28.3229140
Opet Tuzla,40.9316740,29.3389549
Aytemiz Bahçelievler Çobançeşme,41.0009743,28.8226446
,41.1791462,28.7030040
,41.1505849,28.2333210
Aytemiz Gaziosmanpaşa Hürriyet,41.0704898,28.9023020
Opet Bağcılar 15 Temmuz,41.0274062,28.8125769
Petrol Ofisi,41.0178124,28.4830719
Shell,40.8712590,29.3314775
Aygaz,40.9950191,28.7052039
BP Silivri Piri Mehmet Paşa,41.0769052,28.2464107
Petrol Ofisi Silivri Mimarsinan,41.0799552,28.2069482
,41.0425372,28.8466338
BP Büyükçekmece Yakuplu,41.0143393,28.6469932
Total Tuzla,40.9183976,29.3514665
Shell,40.8446760,29.3058965
Shell,40.8760027,29.2630048
,40.8800399,29.2594429
Aytemiz Büyükçekmece Güzelce,41.0095046,28.5233670
Total Gas Station,41.0103957,28.5316044
Aygaz,41.0126432,28.5372400
Opet Büyükçekmece Ekinoba,41.0125326,28.5413531
Shell Sinanoba,41.0145481,28.5461599
Lukoil Akaryakıt İstasyonu,41.0139940,28.5473981
Total Mimarsinan,41.0170614,28.5573990
Shell Mimarsinan,41.0172978,28.5622313
Petrol Ofisi,41.0185701,28.5639545
Petrol Ofisi,41.0196623,28.5636778
Opet Büyükçekmece Mimar Sinan,41.0209600,28.5631501
Shell Büyükçekmece Ulus,41.0258567,28.5565171
Opet Tuzla,40.8194752,29.3062437
BP,40.9358432,29.3611401
Shell,40.9405618,29.3698716
Petrol Ofisi,40.9426442,29.3733830
Opet,40.9283857,29.4360139
Lukoil,40.9445864,29.3880242
TotalEnergies TSK Mehmetcik Vakfı,40.9350119,29.3288072
Shell Gümüşyaka,41.0603926,28.0843218
Petrol Ofisi Silivri Sancaktepe,41.0711053,28.1128047
BP Silivri Semizkumlar,41.0753209,28.1328825
,41.0756559,28.1447099
Shell Silivri Kuzey,41.0819117,28.2184142
Shell Silivri Güney,41.0814435,28.2208570
Aytemiz Silivri Yeni,41.0745974,28.2617667
Çekoil Onur Petrol,41.0723206,28.2740187
Türkiye Petrolleri,41.0718014,28.2769366
Petrol Ofisi Silivri Murat Çeşme,41.0709492,28.2767925
Shell Silivri Alibey,41.0705065,28.2788449
Opet Silivri Alibey,41.0696818,28.2926283
BP,41.1278316,29.0961848
Shell,41.1305879,29.0935792
Total,41.0221984,29.0429366
Total,41.0230199,29.0430475
Opet Üsküdar,41.0237064,29.0419620
Opet,41.0241529,29.0548718
Total,41.0239030,29.0815897
Total,41.0029931,29.0362236
Shell,41.0031836,29.0341387
Shell,41.0068267,29.0251505
Total,41.1692589,28.9050021
,41.1558455,29.6043713
TotalEnergies,41.0876776,29.3476389
,41.0880657,29.3451445
,41.1908234,29.4472343
BPet,41.1679444,29.5613628
BP,41.1914264,29.0368874
Total Gümüşyaka,41.0436104,28.0358371
Energy Süperpet,41.0516552,28.3869997
Petrol Ofisi,41.0834328,28.3683074
Petrol Ofisi,41.0834475,28.3708143
Petrol Ofisi,41.0201144,28.5593928
Opet Büyükçekmece Fatih,41.0217351,28.5840546
Kadoil,41.0231782,28.6188261
BP,41.0168210,28.6392375
Türk Petrol,41.0001016,28.6950441
Shell Avcılar,40.9882554,28.7187248
Petrol Ofisi,40.9906920,28.7184232
Shell Küçükçekmece,40.9868352,28.7699299
Petrol Ofisi Küçükçekmece Cennet,40.9859369,28.7839188
BP Küçükçekmece Gültepe,40.9885513,28.7909023
Shell Atatürk Havalimanı,40.9863951,28.8196684
Opet Ceynak Lojistik,41.0164732,28.8116205
BP Bağcılar Kirazlı Bağlar,41.0260494,28.8141226
Shell Halkalı,41.0432544,28.8030705
BP,41.0366263,28.7971332
Shell,41.0336744,28.7681455
,41.0426641,28.7563563
Petrol Ofisi,40.9194604,29.2866564
Energy,40.8942418,29.2593302
Shell,41.0716662,28.6938781
BP Esenyurt Akçaburgaz,41.0672924,28.6494303
Shell,40.9810361,29.1311204
BP Kayışdağı,40.9793625,29.1271977
Türkiye Petrolleri,40.9790501,29.1046565
Shell,40.9853132,29.1071790
Petrol Ofisi,40.9859873,29.1087540
Energy Çantaköy Petrol,41.0845731,28.0373748
Petrol Ofisi,41.2262840,28.0638800
Opet Erdağı Petrol,41.2038763,28.0768099
,41.2306434,28.1142936
Petrol Ofisi,40.8895343,29.2067711
Aytemiz,40.8970717,29.2257208
Petrol Ofisi,40.9478483,29.1064953
Petrol Ofisi,40.9806612,29.0418373
Opet Kızıltoprak,40.9839354,29.0400899
Opet Sultangazi,41.1088426,28.8596474
Shell,41.0935620,28.8634524
Shell,41.0987070,28.9003775
Kadoil,41.0806741,28.9072787
Petrol Ofisi,41.1045320,28.8042785
Shell,41.2345213,28.8880194
,41.1775159,28.7479725
Petrol Ofisi,41.1568163,28.6723328
Opet Ümraniye,41.0141227,29.1637819
,41.0157593,29.1531253
,41.0160928,29.1503703
Opet Ortaş,41.0164600,29.1460319
Erk Petrol,41.0055207,29.1463068
Petrol Ofisi,41.0132643,29.1072865
Petrol Ofisi,40.8967672,29.2034260
,41.1661931,29.0564930
,40.9585228,29.2148183
BP,41.0033205,28.8663906
Shell,41.0069657,28.8713178
Petrol Ofisi Bahçelievler Mehmet Akif,41.0022780,28.8829966
Petrol Ofisi,41.0795466,28.6260600
Shell,41.0792050,28.6248376
Shell Florya,40.9725654,28.7899492
Opet Küçükçekmece Gültepe,40.9929402,28.7935140
Petrol Ofisi Zeytinburnu Maltepe,41.0151848,28.9078086
Opet Zeytinburnu Merkezefendi,41.0162795,28.9116473
Shell,41.0167833,28.9128377
Total Atakent,41.0612672,28.7767168
Opet,41.0996573,28.7666233
Shell Ataköy Sahil,40.9743342,28.8740989
Shell,41.0538729,28.8664719
Aytemiz,41.0546792,28.8639486
Shell,41.0841918,28.9783031
Opet Kağıthane,41.0889002,28.9849858
Shell,41.0937938,28.9927287
Opet Beyoğlu,41.0383282,28.9567532
Aytemiz,41.0585181,28.9657014
Total,41.0449576,29.1771714
Opet,41.0696830,28.8251047
BP Avcılar,40.9954061,28.7046971
Opet,41.0005436,28.6914835
Shell,41.0093769,28.7014502
Total,41.0115500,28.6980860
Petrol Ofisi,41.0374652,28.9257148
Shell,41.0395929,28.9113175
Petrol Ofisi,41.0713430,28.8679143
Petrol Ofisi,41.0870737,28.8689191
Opet,41.0367809,28.8872845
Opet,41.0456765,28.9313796
BP,41.0562456,28.8756497
Shell,41.1402781,28.7728915
,41.1911652,28.3997145
Opet,41.0348065,28.7668233
Petrol Ofisi,41.0145162,28.7681160
SOCAR,41.2478541,28.7521214
Petrol Ofisi,41.0115610,28.6793580
,41.2033847,28.7597825
Petrol Ofisi,40.8690844,29.3347683
BP,41.1317235,28.2300993
Shell,41.2558857,28.0363503
,41.0059156,28.6596976
Shell,41.0691310,28.8108143
Sunpet,41.2318491,28.5996615
BP,41.1331951,28.2313504
Shell,41.0166336,28.9550416
Petrol Ofisi,41.1291236,29.8533349
Opet,41.0191556,28.9178318
Petrol Ofisi,41.0195398,28.6294897
,41.0508416,28.0555739
Opet Kadıköy,40.9705543,29.1009385
BP,41.0141930,28.8420492
Opet,41.0037021,28.9499428
,40.9827619,29.6657486
,41.0847966,29.3322251
Petrol Ofisi,40.8807816,29.2499652
Petrol Ofisi,40.9884588,29.1455518
Opet,40.9841631,29.0569144
BP,40.9912822,28.9195654
Shell,41.0022429,28.9198623
Shell,41.0281860,28.8993950
Shell,41.0280911,28.9007152
Shell,41.0340694,28.8969993
Opet Maltepe,40.9290485,29.1462548
Shell Express,41.0330705,29.1107764
Shell,41.0205482,29.1296114
Opet,41.0544147,29.0337873
BP,41.0738872,29.0159579
Shell,41.0698742,29.0152452
BP,41.0309620,28.8146320
BP,41.0244923,28.8283443
Petrol Ofisi,41.0365006,28.8937404
Petrol Ofisi,41.0426227,28.8959656
Petrol Ofisi,41.0405545,28.9117371
Petrol Ofisi,41.0296484,28.8668127
BP,41.0391741,28.9173024
Petrol Ofisi,41.0386246,28.9217428
Türkiye Petrolleri,41.0416669,28.9199626
BP,41.0461600,28.9154492
Aytemiz,41.0581266,28.9062807
Petrol Ofisi,41.0618394,28.9023144
BP,41.0501035,28.8998117
BP,41.0557261,28.8968490
Total,41.0610413,28.8921509
BP,41.0729681,28.8867081
Total,41.0761488,28.8807542
Petrol Ofisi,41.0785749,28.9720234
Aytemiz,41.0899170,28.8831084
Shell,41.0912923,28.8843124
Total,41.0869954,28.8893126
Kadoil,41.0820740,28.8930849
Opet,41.0808264,28.8933585
Petrol Ofisi,41.0785947,28.8955669
Aytemiz,41.0780506,28.8990355
Shell,41.0743185,28.9050783
Shell,41.0700316,28.9065991
Shell,41.0825089,28.9167443
Opet,41.0794953,28.9304409
Opet,41.0656572,28.9874809
Aytemiz,41.0595306,28.9761503
Opet,41.0565105,28.9651124
Petrol Ofisi,41.0837014,28.9090150
Opet,41.0566790,28.9391349
BP,41.0576209,28.9419382
Shell,41.0662352,28.9429632
Total,41.0693304,28.9331484
Opet,41.0510540,28.9076389
Opet,41.0700559,28.8925457
Opet,41.0815516,28.8961251
Opet,41.0869448,28.9504627
Total,41.1074455,29.0152133
BP,41.1084252,29.0233092
Shell,41.1157315,29.0232159
Opet,41.0695795,28.9164740
Shell Sefaköy,40.9963146,28.7966461
Petrol Ofisi,41.0657354,28.9334658
Opet,41.1013118,28.9799955
BP,41.0010194,28.6181483
Shell,41.0058414,28.6223911
Opet,41.0163417,28.6259075
Opet,41.0189519,28.6311127
Petrol Ofisi,41.0199328,28.6316143
Shell,41.0097430,28.6550438
Aytemiz,41.0293532,28.6825976
Shell,41.0321617,28.6819427
Shell,41.0319562,28.6743150
Opet,41.0510066,28.6877366
Opet,41.1921501,28.5708984
Opet,41.1955155,28.5699581
Turkish Petrol,41.2770965,28.6124561
Total,41.2450241,28.7014848
Total,41.2435451,28.7040755
Petrol Ofisi,41.1792330,28.8840084
Shell,41.1560027,29.0357557
BP,41.0950742,28.8959035
Shell,40.9161243,29.1699560
,40.8982602,29.1641302
,41.3055290,28.2418501
Opet,41.0554432,29.1887592
Opet,41.0552294,29.1847871
,41.0838350,28.9488526
Shell,41.0044928,29.0303820
,41.0512982,29.0644395
Petrol Ofisi,40.9815951,28.8843210
Shell,41.1013536,28.9659513
,41.1028138,29.0000549
Total Energies,40.9172131,29.3543737
Total Tuzla,40.9206579,29.3502175
BP,40.9108193,29.1991062
GO Yakıt,41.0517471,28.9106435
Petrol Ofisi,41.0555810,28.9096727
,41.0807449,28.8941561
TotalEnergies,41.1111874,28.7962122
Total,40.9969726,28.8716266
Opet,40.9740305,28.8731698
Shell,41.0310203,29.2309250
Petrol Ofisi,41.1297530,28.8377788
BP,41.0283824,28.4598276
Türkiye Petrolleri,40.9813442,29.1650507
S Oil,41.0568440,28.9964243
TotalEnergies,40.9044049,29.1637430
OPET,40.8882781,29.3751917
Türkiye Petrolleri,41.0352907,28.9936989
Petrol Ofisi,41.0225385,29.0753418
,40.9993212,29.1816253
BP,40.9314128,29.1287879
Shell,40.9752336,29.0522882
Shell,40.9261964,29.3510894
Petrol Ofisi,41.0129288,28.7917857
Opet,41.0647311,28.6716933
Shell,41.0983924,28.7910556
SOCAR,41.2574997,28.7025077
Opet,41.0926542,28.9172461
,40.9916928,29.2238494
Termo,41.0696317,28.9031435
Opet,41.0838390,28.8122704
Opet,41.0519538,28.9112213
Energy,41.0541430,28.9104477
Shell,41.0840749,28.8105147
Shell,41.0987516,28.7891186
Shell,41.0453417,28.9170198
TotalEnergies,41.2518300,28.7384002
,41.0039270,29.2168552
Opet,41.1974456,29.1462511
Shell,41.1371580,28.8113126
TotalEnergies,40.9819902,28.6824242
,40.8521033,29.3115774
,41.0368820,29.1555844
,41.0370596,29.1556618
Aytemiz,41.1992848,28.8261295
Shell,41.1958837,28.8222872
Shell,41.0495087,28.8205087
Petrol Ofisi,40.9749913,29.2407212
,40.9892906,29.1952693
Opet,40.9876980,29.1438224
Petrol Ofisi,40.9885285,29.1455384
Opet,41.0164513,29.1459069
,41.0167684,29.1415353
Petrol Ofisi,41.0086020,29.2016653
Petrol Ofisi,41.0915620,28.6342045
,40.9890925,29.1940295
,40.9880650,29.1931268
,41.2034191,28.7598629
Opet,41.1135019,28.7979874
Sunpet,41.4100924,28.1854179
Energy,41.4103585,28.1848709
Opet,41.0840850,28.7844624
